INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,515][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][web.core] #'web.config/env started
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][web.core] #'web.handler/init-app started
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][web.core] #'web.core/http-server started
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][web.core] #'web.core/repl-server started
INFO   | jvm 1    | 2016/05/14 11:17:20 | [2016-05-14 11:17:20,671][INFO][web.core] #'web.core/log started
STATUS | wrapper  | 2016/05/14 11:17:39 | CTRL-C trapped.  Shutting down.
INFO   | jvm 1    | 2016/05/14 11:17:41 | [2016-05-14 11:17:40,953][INFO][luminus.http-server] HTTP server stopped
INFO   | jvm 1    | 2016/05/14 11:17:41 | [2016-05-14 11:17:40,953][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:17:41 | -=[web has shutdown successfully]=-
INFO   | jvm 1    | 2016/05/14 11:17:41 | [2016-05-14 11:17:40,953][INFO][web.core] #'web.core/repl-server stopped
INFO   | jvm 1    | 2016/05/14 11:17:41 | [2016-05-14 11:17:40,953][INFO][web.core] #'web.core/http-server stopped
INFO   | jvm 1    | 2016/05/14 11:17:41 | [2016-05-14 11:17:40,953][INFO][web.core] #'web.handler/init-app stopped
STATUS | wrapper  | 2016/05/14 11:17:41 | <-- Wrapper Stopped
WARN   | wrapper  | 2016/05/14 11:22:32 | Unable to write to the configured log directory: ..\logs (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:22:32 |   The directory does not exist.
WARN   | wrapper  | 2016/05/14 11:22:32 | Unable to write to the configured log file: ..\logs\wrapper.log (系统找不到指定的路径。 (0x3))
WARN   | wrapper  | 2016/05/14 11:22:32 |   Falling back to the default file in the current working directory: wrapper.log
STATUS | wrapper  | 2016/05/14 11:22:32 | --> Wrapper Started as Console
STATUS | wrapper  | 2016/05/14 11:22:32 | Java Service Wrapper Community Edition 32-bit 3.5.29
STATUS | wrapper  | 2016/05/14 11:22:32 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2016/05/14 11:22:32 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2016/05/14 11:22:32 | 
STATUS | wrapper  | 2016/05/14 11:22:33 | Launching a JVM...
INFO   | jvm 1    | 2016/05/14 11:22:33 | WrapperManager: Initializing...
INFO   | jvm 1    | 2016/05/14 11:22:37 | [2016-05-14 11:22:37,500][INFO][web.env] 
INFO   | jvm 1    | 2016/05/14 11:22:37 | -=[web started successfully]=-
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,015][INFO][luminus.http-server] starting HTTP server on port 3000
INFO   | jvm 1    | 2016/05/14 11:22:40 | [2016-05-14 11:22:40,046][INFO][org.xnio] XNIO version 3.4.0.Beta1
